Current Time: 15.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 27.78
Current Time: 45.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 27.83
Current Time: 45.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 27.89
Current Time: 35.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 27.91
Current Time: 15.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 27.87
Current Time: 25.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 27.86
Current Time: 25.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 27.85
Current Time: 45.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 27.91
Current Time: 25.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 27.90
Current Time: 45.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 27.95
Current Time: 25.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 27.94
Current Time: 25.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 27.93
Current Time: 45.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 27.99
Current Time: 15.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 27.95
Current Time: 15.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 27.91
Current Time: 15.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 27.87
Current Time: 25.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 27.86
Current Time: 45.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 27.91
Current Time: 45.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 27.96
Current Time: 15.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 27.92
Current Time: 25.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 27.91
Current Time: 25.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 27.91
Current Time: 25.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 27.90
Current Time: 25.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 27.89
Current Time: 25.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 27.88
Current Time: 25.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 27.87
Current Time: 25.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 27.86
Current Time: 15.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 27.82
Current Time: 45.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 27.87
Current Time: 15.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 27.84
Current Time: 15.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 27.80
Current Time: 25.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 27.79
Current Time: 15.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 27.75
Current Time: 25.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 27.74
Current Time: 25.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 27.74
Current Time: 45.00, Min Time: 15.00, Max Time: 45.00, Avg Time: 27.79
